--- scanner 0 ---
-95,47,-4
-433,339,686
776,-791,349
699,422,-931
-601,428,-786
-518,-659,-472
366,279,475
-391,306,703
-824,-591,783
671,-803,268
649,319,-908
-834,-443,814
-608,-627,-525
313,315,609
-818,-582,819
261,-812,-636
-627,388,-788
372,-879,-622
646,435,-799
-656,326,698
496,289,546
-54,-128,-110
458,-820,-572
-702,461,-876
-522,-693,-443
707,-633,286

--- scanner 1 ---
-621,648,-820
548,-689,577
666,-363,-834
-494,-719,317
619,-388,-688
-691,580,-706
561,661,-589
-805,-703,-760
864,552,430
765,611,-569
733,608,353
-579,580,591
-585,709,-667
538,-834,461
-450,516,592
-803,-693,-633
-8,-36,9
803,550,500
-564,-863,270
655,691,-604
460,-853,551
-673,-636,-666
663,-527,-739
-614,526,662
-500,-792,428
-85,66,-117

--- scanner 2 ---
506,-840,-500
-578,616,566
629,521,-331
-509,658,663
-539,-732,628
749,411,-284
358,-840,-425
724,754,565
-32,-6,28
684,615,652
-609,-486,-405
-498,-691,484
735,466,-311
-696,-506,-560
417,-447,812
443,-552,907
-383,-705,600
-742,746,-443
750,791,680
-666,-479,-438
427,-671,814
-600,587,563
-738,818,-399
496,-837,-425
-831,729,-336

--- scanner 3 ---
549,651,656
548,522,592
823,566,-643
-638,652,858
589,-388,-777
-596,918,-481
-701,-592,870
640,-731,626
712,572,-716
-370,-283,-649
-542,-675,911
92,22,96
-686,893,-505
710,-792,628
870,636,-787
-413,-270,-655
563,-476,-613
-589,949,-441
-626,-566,934
787,-661,684
-416,-418,-720
-533,722,741
478,686,602
-22,188,141
679,-466,-758
-538,593,818

--- scanner 4 ---
-552,649,769
-521,-572,-793
-626,660,740
-675,-581,497
-718,-572,427
766,782,-573
-559,-520,-784
-598,804,723
-476,662,-447
-539,660,-416
564,706,664
628,-727,-687
-562,-624,-820
-785,-523,523
859,710,-571
736,689,-604
-425,626,-467
796,-756,-594
814,-605,660
-36,2,-25
550,798,618
731,-582,801
536,570,609
721,-801,-589
797,-590,762

--- scanner 5 ---
548,-495,250
-563,-656,332
633,896,516
777,492,-501
-853,497,767
-860,-500,-474
533,-452,472
-148,176,11
605,594,-516
742,675,-555
726,771,519
713,936,526
19,46,-48
686,-464,-602
-487,566,-719
-848,405,667
552,-458,273
-158,13,-166
-588,-529,375
-928,459,611
-872,-535,-689
-567,718,-684
-749,-518,-605
697,-456,-628
-391,695,-699
569,-408,-568
-558,-466,305

--- scanner 6 ---
-725,571,493
-423,-457,336
-819,611,-536
522,627,660
540,-667,-374
530,563,-855
545,586,-679
-536,-698,-407
639,-625,579
624,-719,549
624,-650,-497
408,557,592
561,521,531
-762,624,661
-92,-137,99
-868,551,-651
-731,557,760
-539,-769,-501
-382,-362,448
-477,-667,-372
-803,440,-582
-455,-392,474
755,-632,-386
510,434,-759
659,-829,629
32,-77,-72
-140,39,-51

--- scanner 7 ---
487,589,-526
-774,-482,-623
424,409,984
694,-503,-447
-554,-575,789
796,-673,691
697,-408,-283
-657,748,659
-772,-609,-613
-660,-536,660
-477,686,-508
-590,-422,728
686,-638,771
-534,604,-408
359,441,846
421,413,-498
-604,711,827
-642,-576,-556
650,-554,-308
447,450,-613
329,368,872
592,-653,741
-79,27,50
-590,717,560
-619,680,-444

--- scanner 8 ---
-585,-677,-842
786,775,473
842,-864,447
866,714,492
87,-105,-74
652,-891,442
681,-946,-664
766,736,568
756,563,-620
734,686,-608
715,-821,472
-311,-429,737
-528,760,785
-560,801,786
-710,-680,-749
-377,380,-936
714,489,-610
-750,-670,-829
-273,-585,812
644,-923,-668
-423,384,-755
-219,-529,732
-319,398,-841
-376,752,826
638,-724,-649

--- scanner 9 ---
576,-382,-424
-492,525,-329
440,636,812
-513,-307,-637
-82,56,129
-448,401,-316
405,-290,688
490,635,714
-446,-297,-609
693,736,-397
773,692,-367
-817,636,760
-731,611,682
-617,-365,-629
31,-50,-15
-786,-449,668
699,-337,-309
-609,378,-334
705,773,-326
357,-411,635
680,-350,-544
342,-372,552
-687,585,734
-712,-464,777
-797,-631,772
333,620,822

--- scanner 10 ---
398,-470,-523
-643,-600,483
748,564,-445
-428,-635,495
-696,479,928
-559,-617,606
-463,512,-604
784,460,-448
-533,503,-561
-544,-642,-470
378,-479,792
-29,-94,163
-798,494,911
-559,561,-671
40,38,44
651,357,742
545,-400,-581
475,-339,-579
757,512,-407
421,-606,767
351,-669,797
558,328,910
-837,502,845
-524,-438,-520
553,283,835
-559,-548,-440

--- scanner 11 ---
409,349,-680
583,486,597
474,-653,-554
-87,-62,-189
-728,-841,-829
-492,267,-439
-621,-783,-872
-575,-913,-819
-19,2,3
407,553,-663
94,-189,-134
-663,443,543
643,493,527
428,471,-827
688,-619,256
-603,256,520
